îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
2018/1/1,10.5,0.3
2018/1/2,10.6,0.9
2018/1/3,6.8,-2.6
2018/1/4,8,-3.8
2018/1/5,4.4,-1.2
2018/1/6,8.8,-0.1
2018/1/7,9,-1.7
2018/1/8,8.5,0
2018/1/9,10.3,0.4
2018/1/10,6.7,-2.4
2018/1/11,4.1,-2.9
2018/1/12,5.6,-5.9
2018/1/13,6.6,-6.1
2018/1/14,5.1,-3
2018/1/15,11.4,-4.4
2018/1/16,14.8,-2.2
2018/1/17,12.9,6.6
2018/1/18,14.3,2.9
2018/1/19,11.2,0.8
2018/1/20,11.4,-0.8
2018/1/21,11.8,-1.9
2018/1/22,5.2,-0.4
2018/1/23,9.5,0.3
2018/1/24,3.7,-2.7
2018/1/25,3.6,-3.8
2018/1/26,5.1,-2.3
2018/1/27,5.6,-4.5
2018/1/28,4.4,-4.7
2018/1/29,9,-1.6
2018/1/30,6.9,-3.1
2018/1/31,6.7,-4.9
2018/2/1,3.5,0.4
2018/2/2,7.5,0
2018/2/3,9,-2.3
2018/2/4,6.1,-3.4
2018/2/5,5.4,-3.8
2018/2/6,5.3,-6.2
2018/2/7,6.2,-4.1
2018/2/8,7.4,-5.7
2018/2/9,9.9,-5.7
2018/2/10,6.6,-0.2
2018/2/11,7.4,-0.9
2018/2/12,6.2,-2.9
2018/2/13,6.4,-3.2
2018/2/14,10.1,-3.9
2018/2/15,12.5,1.1
2018/2/16,11.8,-1.9
2018/2/17,10.1,0.2
2018/2/18,8.2,-2.8
2018/2/19,9.1,-3.3
2018/2/20,13.1,-2
2018/2/21,9.5,-0.4
2018/2/22,10,-2.2
2018/2/23,11.7,-2.1
2018/2/24,13.5,-3.3
2018/2/25,10.6,-0.2
2018/2/26,14.9,0.6
2018/2/27,14.7,-2.1
2018/2/28,16.5,-0.7
2018/3/1,15.3,6.1
2018/3/2,12.5,1.9
2018/3/3,15.7,-1.4
2018/3/4,21.8,2.4
2018/3/5,14.9,7.3
2018/3/6,11.4,1.5
2018/3/7,11.7,-0.8
2018/3/8,13.7,8
2018/3/9,12.3,3.6
2018/3/10,10.7,-0.1
2018/3/11,14.2,-2.4
2018/3/12,15.7,-0.8
2018/3/13,20.2,0.7
2018/3/14,22.4,4.8
2018/3/15,22.8,5.1
2018/3/16,13.7,3.9
2018/3/17,13.5,0
2018/3/18,18.6,0.5
2018/3/19,15.8,10.6
2018/3/20,10.6,5.2
2018/3/21,11.1,5.1
2018/3/22,13.1,6.1
2018/3/23,14.6,1.8
2018/3/24,16.9,-0.7
2018/3/25,18.9,2
2018/3/26,21.8,3.7
2018/3/27,22.8,4.3
2018/3/28,24.3,5.7
2018/3/29,23.8,6.7
2018/3/30,18,3.3
2018/3/31,20.9,0.7
2018/4/1,22.8,6.4
2018/4/2,25,10.6
2018/4/3,26,9.8
2018/4/4,26,10.8
2018/4/5,20.5,10
2018/4/6,21.2,10.9
2018/4/7,14.4,6.2
2018/4/8,12.8,1.8
2018/4/9,16.8,1.6
2018/4/10,22.6,4.5
